playerID,specific_player_position,player_position,player_position_class
5099,RB,FB,Defence
5112,GK,GK,GoalKeeper
5134,GK,GK,GoalKeeper
5138,GK,GK,GoalKeeper
5171,LB,FB,Defence
5203,RB,FB,Defence
5208,GK,GK,GoalKeeper
5213,CB,CB,Defence
5231,RB,FB,Defence
5237,GK,GK,GoalKeeper
5244,CM,CM,Midfield
5255,LB,FB,Defence
5267,CDM,DM,Midfield
5279,CB,CB,Defence
5336,CB,CB,Defence
5345,CDM,DM,Midfield
5401,CB,CB,Defence
5417,CB,CB,Defence
5419,ST,CF,Attack
5430,CDM,DM,Midfield
5440,CB,CB,Defence
5445,CB,CB,Defence
5459,ST,CF,Attack
5460,GK,GK,GoalKeeper
5461,CB,CB,Defence
5467,CB,CB,Defence
5471,CM,CM,Midfield
5479,GK,GK,GoalKeeper
5485,CDM,DM,Midfield
5533,RW,WA,Attack
5547,LM,WM,Midfield
5550,ST,CF,Attack
5566,RB,FB,Defence
5589,RW,WA,Attack
5594,GK,GK,GoalKeeper
5645,ST,CF,Attack
5661,ST,CF,Attack
5679,CF,CF,Attack
5688,CDM,DM,Midfield
5704,LB,FB,Defence
5721,CAM,CAM,Midfield
5738,CAM,CAM,Midfield
5739,CDM,DM,Midfield
5741,CB,CB,Defence
5744,CF,CF,Attack
5750,LM,WM,Midfield
5809,ST,CF,Attack
5818,LB,FB,Defence
5819,GK,GK,GoalKeeper
5860,ST,CF,Attack
5879,ST,CF,Attack
5965,CDM,DM,Midfield
5984,ST,CF,Attack
6016,CAM,CAM,Midfield
6083,LWB,WB,Defence
6122,GK,GK,GoalKeeper
6139,GK,GK,GoalKeeper
6159,CM,CM,Midfield
6186,CDM,DM,Midfield
6190,SW,SW,Defence
6207,RB,FB,Defence
6235,LM,WM,Midfield
6251,GK,GK,GoalKeeper
6338,LB,FB,Defence
6398,CB,CB,Defence
6422,RM,WM,Midfield
6490,RB,FB,Defence
6541,ST,CF,Attack
6550,LM,WM,Midfield
6591,ST,CF,Attack
6645,ST,CF,Attack
6647,CB,CB,Defence
6665,GK,GK,GoalKeeper
6716,CM,CM,Midfield
6720,CDM,DM,Midfield
6747,CB,CB,Defence
6775,CDM,DM,Midfield
6799,ST,CF,Attack
6800,GK,GK,GoalKeeper
6803,CB,CB,Defence
6826,CDM,DM,Midfield
6862,CB,CB,Defence
6895,GK,GK,GoalKeeper
6908,CM,CM,Midfield
6971,CB,CB,Defence
6975,CAM,CAM,Midfield
7080,CDM,DM,Midfield
7142,CB,CB,Defence
7264,CB,CB,Defence
7274,CDM,DM,Midfield
7280,CB,CB,Defence
7289,CB,CB,Defence
7306,CAM,CAM,Midfield
7384,CDM,DM,Midfield
7391,CB,CB,Defence
7434,LB,FB,Defence
7455,GK,GK,GoalKeeper
7467,GK,GK,GoalKeeper
7512,ST,CF,Attack
7514,LWB,WB,Defence
7517,CM,CM,Midfield
7558,RWB,WB,Defence
7584,GK,GK,GoalKeeper
7597,GK,GK,GoalKeeper
7604,ST,CF,Attack
7610,RB,FB,Defence
7612,LB,FB,Defence
7631,CF,CF,Attack
7647,CB,CB,Defence
7656,CM,CM,Midfield
7674,GK,GK,GoalKeeper
7687,ST,CF,Attack
7708,CDM,DM,Midfield
7738,LW,WA,Attack
7743,LM,WM,Midfield
7754,CM,CM,Midfield
7763,CM,CM,Midfield
7766,ST,CF,Attack
7767,ST,CF,Attack
7784,ST,CF,Attack
7808,CM,CM,Midfield
7814,CB,CB,Defence
7820,CM,CM,Midfield
7823,CAM,CAM,Midfield
7826,ST,CF,Attack
7833,GK,GK,GoalKeeper
7841,ST,CF,Attack
7842,ST,CF,Attack
7849,CB,CB,Defence
7870,CM,CM,Midfield
7877,ST,CF,Attack
7912,LM,WM,Midfield
7932,LB,FB,Defence
7933,CM,CM,Midfield
7939,GK,GK,GoalKeeper
7947,GK,GK,GoalKeeper
8008,RW,WA,Attack
8012,LW,WA,Attack
8013,RW,WA,Attack
8038,RW,WA,Attack
8040,RM,WM,Midfield
8048,GK,GK,GoalKeeper
8088,ST,CF,Attack
8132,RB,FB,Defence
8205,CM,CM,Midfield
8210,LW,WA,Attack
8214,CB,CB,Defence
8219,CB,CB,Defence
8222,CB,CB,Defence
8243,ST,CF,Attack
8247,GK,GK,GoalKeeper
8264,RB,FB,Defence
8276,CM,CM,Midfield
8284,CB,CB,Defence
8293,LW,WA,Attack
8298,CM,CM,Midfield
8333,CDM,DM,Midfield
8348,RB,FB,Defence
8376,CB,CB,Defence
8387,CB,CB,Defence
8471,CDM,DM,Midfield
8473,CAM,CAM,Midfield
8516,LM,WM,Midfield
8517,CDM,DM,Midfield
8568,RB,FB,Defence
8631,RB,FB,Defence
8722,CB,CB,Defence
8741,CF,CF,Attack
8753,LB,FB,Defence
8763,CB,CB,Defence
8772,ST,CF,Attack
8798,CDM,DM,Midfield
8830,CM,CM,Midfield
8834,CB,CB,Defence
8842,RB,FB,Defence
8963,RB,FB,Defence
8998,RB,FB,Defence
9002,CM,CM,Midfield
9003,LW,WA,Attack
9006,RM,WM,Midfield
9014,RM,WM,Midfield
9037,RM,WM,Midfield
9273,ST,CF,Attack
9432,LM,WM,Midfield
9593,CAM,CAM,Midfield
9639,CB,CB,Defence
9656,LM,WM,Midfield
9676,ST,CF,Attack
9723,CAM,CAM,Midfield
9751,GK,GK,GoalKeeper
9758,CB,CB,Defence
9764,RM,WM,Midfield
9771,CM,CM,Midfield
9780,CB,CB,Defence
9799,ST,CF,Attack
9801,ST,CF,Attack
9805,LM,WM,Midfield
9807,CB,CB,Defence
9815,CDM,DM,Midfield
9833,GK,GK,GoalKeeper
9978,RWB,WB,Defence
10133,ST,CF,Attack
10183,CB,CB,Defence
10264,ST,CF,Attack
10468,CB,CB,Defence
10475,CB,CB,Defence
10535,CM,CM,Midfield
10540,CM,CM,Midfield
10584,CB,CB,Defence
10684,ST,CF,Attack
10704,ST,CF,Attack
10764,CB,CB,Defence
10780,CB,CB,Defence
10824,CB,CB,Defence
10863,CM,CM,Midfield
10866,CB,CB,Defence
10899,ST,CF,Attack
10959,CAM,CAM,Midfield
11031,CF,CF,Attack
11056,CDM,DM,Midfield
11083,GK,GK,GoalKeeper
11097,RM,WM,Midfield
11110,CDM,DM,Midfield
11114,CB,CB,Defence
11125,ST,CF,Attack
11141,ST,CF,Attack
11215,RM,WM,Midfield
11260,CB,CB,Defence
11292,LW,WA,Attack
11346,RB,FB,Defence
11381,GK,GK,GoalKeeper
11414,LB,FB,Defence
11427,CB,CB,Defence
11465,RB,FB,Defence
11495,CB,CB,Defence
11535,CAM,CAM,Midfield
11576,CB,CB,Defence
11595,CDM,DM,Midfield
11642,ST,CF,Attack
11769,GK,GK,GoalKeeper
11785,CM,CM,Midfield
11791,CB,CB,Defence
11808,RB,FB,Defence
11814,LB,FB,Defence
11841,CM,CM,Midfield
11918,ST,CF,Attack
11941,GK,GK,GoalKeeper
11944,RB,FB,Defence
11983,GK,GK,GoalKeeper
11998,CB,CB,Defence
12011,GK,GK,GoalKeeper
12070,CDM,DM,Midfield
12078,RB,FB,Defence
12167,ST,CF,Attack
12253,ST,CF,Attack
12259,CDM,DM,Midfield
12265,CDM,DM,Midfield
12326,CDM,DM,Midfield
12371,CDM,DM,Midfield
12445,CM,CM,Midfield
12462,CB,CB,Defence
12489,CB,CB,Defence
12492,CDM,DM,Midfield
12514,GK,GK,GoalKeeper
12624,GK,GK,GoalKeeper
12666,CAM,CAM,Midfield
12695,CB,CB,Defence
12766,CB,CB,Defence
12863,ST,CF,Attack
12940,CB,CB,Defence
13038,CB,CB,Defence
13042,CDM,DM,Midfield
13077,CDM,DM,Midfield
13111,CB,CB,Defence
13117,RB,FB,Defence
13119,CAM,CAM,Midfield
13124,CM,CM,Midfield
13127,CM,CM,Midfield
13128,ST,CF,Attack
13130,CB,CB,Defence
13131,RB,FB,Defence
13132,CAM,CAM,Midfield
13144,ST,CF,Attack
13349,CM,CM,Midfield
13354,RB,FB,Defence
13446,CM,CM,Midfield
13690,ST,CF,Attack
13732,CB,CB,Defence
13739,CM,CM,Midfield
13743,CM,CM,Midfield
13761,RM,WM,Midfield
13843,GK,GK,GoalKeeper
13856,ST,CF,Attack
13867,CDM,DM,Midfield
13879,ST,CF,Attack
13890,LB,FB,Defence
13891,CB,CB,Defence
13914,GK,GK,GoalKeeper
13920,CM,CM,Midfield
14005,CDM,DM,Midfield
14106,RB,FB,Defence
14180,RF,WF,Attack
14185,CB,CB,Defence
14191,ST,CF,Attack
14487,GK,GK,GoalKeeper
14491,CB,CB,Defence
14498,CDM,DM,Midfield
14500,CDM,DM,Midfield
14501,CAM,CAM,Midfield
14510,ST,CF,Attack
14752,CM,CM,Midfield
14907,GK,GK,GoalKeeper
15270,CM,CM,Midfield
15304,GK,GK,GoalKeeper
15402,CDM,DM,Midfield
15552,GK,GK,GoalKeeper
15638,CM,CM,Midfield
15639,ST,CF,Attack
15704,CB,CB,Defence
15706,CB,CB,Defence
15708,GK,GK,GoalKeeper
15709,CB,CB,Defence
15711,CDM,DM,Midfield
15715,CDM,DM,Midfield
15716,CAM,CAM,Midfield
15723,CAM,CAM,Midfield
15725,GK,GK,GoalKeeper
15754,LM,WM,Midfield
15799,CM,CM,Midfield
15846,GK,GK,GoalKeeper
15976,GK,GK,GoalKeeper
15982,CB,CB,Defence
15990,CDM,DM,Midfield
15992,CM,CM,Midfield
15999,LW,WA,Attack
16005,LB,FB,Defence
16177,ST,CF,Attack
16188,RM,WM,Midfield
16254,GK,GK,GoalKeeper
16334,CB,CB,Defence
16619,CB,CB,Defence
16845,CDM,DM,Midfield
16897,CB,CB,Defence
17146,,,GoalKeeper
17386,CB,CB,Defence
17394,CM,CM,Midfield
17535,CDM,DM,Midfield
17605,CDM,DM,Midfield
17635,RB,FB,Defence
17725,CB,CB,Defence
17811,RB,FB,Defence
17820,CM,CM,Midfield
17880,RB,FB,Defence
17881,RB,FB,Defence
17887,CDM,DM,Midfield
17891,LB,FB,Defence
17899,CAM,CAM,Midfield
17912,GK,GK,GoalKeeper
17944,ST,CF,Attack
17964,LM,WM,Midfield
17992,RW,WA,Attack
18073,CDM,DM,Midfield
18115,CB,CB,Defence
18121,CB,CB,Defence
18122,GK,GK,GoalKeeper
18126,CB,CB,Defence
18181,CB,CB,Defence
18422,CB,CB,Defence
18511,LB,FB,Defence
18591,ST,CF,Attack
18704,RB,FB,Defence
18739,GK,GK,GoalKeeper
18760,CM,CM,Midfield
18766,CDM,DM,Midfield
18785,RM,WM,Midfield
18881,CDM,DM,Midfield
18886,CDM,DM,Midfield
18919,CAM,CAM,Midfield
18923,LM,WM,Midfield
19077,CF,CF,Attack
19104,CB,CB,Defence
19140,GK,GK,GoalKeeper
19184,ST,CF,Attack
19202,CB,CB,Defence
19232,RB,FB,Defence
19260,CDM,DM,Midfield
19271,CB,CB,Defence
19292,CB,CB,Defence
19307,GK,GK,GoalKeeper
19324,RB,FB,Defence
19351,ST,CF,Attack
19365,ST,CF,Attack
19376,CM,CM,Midfield
19394,CDM,DM,Midfield
19400,ST,CF,Attack
19463,CB,CB,Defence
19524,ST,CF,Attack
19632,ST,CF,Attack
19655,CAM,CAM,Midfield
19687,CB,CB,Defence
19689,LB,FB,Defence
19704,RM,WM,Midfield
19724,CM,CM,Midfield
19756,ST,CF,Attack
19765,CDM,DM,Midfield
19773,CAM,CAM,Midfield
19805,CM,CM,Midfield
19874,CDM,DM,Midfield
19896,CAM,CAM,Midfield
19975,LM,WM,Midfield
19976,ST,CF,Attack
19977,CB,CB,Defence
20057,CB,CB,Defence
20083,CDM,DM,Midfield
20115,LB,FB,Defence
20166,CM,CM,Midfield
20171,ST,CF,Attack
20172,ST,CF,Attack
20176,ST,CF,Attack
20199,CM,CM,Midfield
20204,ST,CF,Attack
20205,LB,FB,Defence
20209,CB,CB,Defence
20212,CM,CM,Midfield
20232,CM,CM,Midfield
20250,CB,CB,Defence
20289,CM,CM,Midfield
20388,LB,FB,Defence
20481,LB,FB,Defence
20490,GK,GK,GoalKeeper
20525,LB,FB,Defence
20537,RB,FB,Defence
20543,LB,FB,Defence
20551,GK,GK,GoalKeeper
20556,RM,WM,Midfield
20572,CB,CB,Defence
20578,CDM,DM,Midfield
20607,LF,WF,Attack
20613,RB,FB,Defence
20642,RWB,WB,Defence
20644,RB,FB,Defence
20665,CDM,DM,Midfield
20686,CB,CB,Defence
20699,CM,CM,Midfield
20731,GK,GK,GoalKeeper
20760,LW,WA,Attack
20772,GK,GK,GoalKeeper
20775,RM,WM,Midfield
20776,RB,FB,Defence
20779,CB,CB,Defence
20785,GK,GK,GoalKeeper
20794,CM,CM,Midfield
20798,CAM,CAM,Midfield
20799,CDM,DM,Midfield
20801,LW,WA,Attack
20882,ST,CF,Attack
20933,CDM,DM,Midfield
21144,CB,CB,Defence
21146,CDM,DM,Midfield
22499,CAM,CAM,Midfield
23015,ST,CF,Attack
23312,CDM,DM,Midfield
23330,CB,CB,Defence
23461,CB,CB,Defence
23466,RB,FB,Defence
23641,RB,FB,Defence
23814,CDM,DM,Midfield
23823,CB,CB,Defence
23972,LB,FB,Defence
24225,ST,CF,Attack
24248,CM,CM,Midfield
24332,ST,CF,Attack
24413,RB,FB,Defence
24438,CB,CB,Defence
24630,GK,GK,GoalKeeper
24717,RB,FB,Defence
24851,CB,CB,Defence
24860,LB,FB,Defence
24894,LB,FB,Defence
24932,CB,CB,Defence
25110,GK,GK,GoalKeeper
25249,CF,CF,Attack
25420,ST,CF,Attack
25798,ST,CF,Attack
25924,LB,FB,Defence
26709,CB,CB,Defence
26992,CB,CB,Defence
27107,CB,CB,Defence
27487,CB,CB,Defence
27488,ST,CF,Attack
27490,LB,FB,Defence
27532,GK,GK,GoalKeeper
27544,CDM,DM,Midfield
27556,RW,WA,Attack
27578,CDM,DM,Midfield
27971,LB,FB,Defence
28050,GK,GK,GoalKeeper
28057,CB,CB,Defence
28060,ST,CF,Attack
28061,CDM,DM,Midfield
28067,CAM,CAM,Midfield
28097,GK,GK,GoalKeeper
28108,LB,FB,Defence
28130,CAM,CAM,Midfield
28157,GK,GK,GoalKeeper
28178,LB,FB,Defence
28223,LB,FB,Defence
28230,RW,WA,Attack
28233,CB,CB,Defence
28249,CDM,DM,Midfield
28277,RF,WF,Attack
28298,CDM,DM,Midfield
28725,ST,CF,Attack
28735,LM,WM,Midfield
28739,RM,WM,Midfield
28765,CAM,CAM,Midfield
28948,LB,FB,Defence
29118,CM,CM,Midfield
29183,GK,GK,GoalKeeper
29337,CDM,DM,Midfield
29488,ST,CF,Attack
29552,CAM,CAM,Midfield
29716,ST,CF,Attack
29831,ST,CF,Attack
29881,CDM,DM,Midfield
30110,ST,CF,Attack
30325,RB,FB,Defence
30458,CDM,DM,Midfield
30540,LB,FB,Defence
30620,RB,FB,Defence
30630,CM,CM,Midfield
30663,CB,CB,Defence
30697,CB,CB,Defence
31378,LWB,WB,Defence
31432,ST,CF,Attack
31486,CB,CB,Defence
31667,CDM,DM,Midfield
31686,CB,CB,Defence
31831,CM,CM,Midfield
32420,RM,WM,Midfield
32442,CB,CB,Defence
32648,CB,CB,Defence
33022,CB,CB,Defence
33335,GK,GK,GoalKeeper
33674,CM,CM,Midfield
33757,GK,GK,GoalKeeper
34079,LB,FB,Defence
34437,GK,GK,GoalKeeper
34440,CB,CB,Defence
34521,CM,CM,Midfield
34663,ST,CF,Attack
34666,RB,FB,Defence
34824,ST,CF,Attack
35179,CDM,DM,Midfield
35310,CDM,DM,Midfield
35491,CDM,DM,Midfield
35713,CB,CB,Defence
35889,CM,CM,Midfield
36659,CM,CM,Midfield
36660,LF,WF,Attack
36792,CB,CB,Defence
36846,CDM,DM,Midfield
37312,CB,CB,Defence
37872,ST,CF,Attack
38256,LM,WM,Midfield
38670,CM,CM,Midfield
39386,LB,FB,Defence
39521,ST,CF,Attack
39630,CDM,DM,Midfield
39943,CAM,CAM,Midfield
40702,CDM,DM,Midfield
40805,CB,CB,Defence
40863,RB,FB,Defence
40898,RM,WM,Midfield
40899,CM,CM,Midfield
40900,CB,CB,Defence
40988,RB,FB,Defence
41196,ST,CF,Attack
41223,CB,CB,Defence
41233,ST,CF,Attack
41236,ST,CF,Attack
41378,CB,CB,Defence
41615,CDM,DM,Midfield
41634,CDM,DM,Midfield
41635,CB,CB,Defence
41674,CB,CB,Defence
41705,CB,CB,Defence
41725,CB,CB,Defence
41734,CM,CM,Midfield
41745,CB,CB,Defence
41784,ST,CF,Attack
41824,CB,CB,Defence
41835,LM,WM,Midfield
41874,CDM,DM,Midfield
42521,LM,WM,Midfield
43020,CM,CM,Midfield
44414,ST,CF,Attack
44877,RB,FB,Defence
44897,GK,GK,GoalKeeper
44900,ST,CF,Attack
44902,CB,CB,Defence
44991,RB,FB,Defence
45002,ST,CF,Attack
45032,CB,CB,Defence
45062,CB,CB,Defence
45073,CM,CM,Midfield
45074,ST,CF,Attack
45080,CB,CB,Defence
45082,LB,FB,Defence
45083,CB,CB,Defence
45098,CB,CB,Defence
45104,ST,CF,Attack
45119,CM,CM,Midfield
45121,CDM,DM,Midfield
45122,CB,CB,Defence
45124,CM,CM,Midfield
45129,ST,CF,Attack
45139,CB,CB,Defence
45143,CM,CM,Midfield
45162,GK,GK,GoalKeeper
45166,RB,FB,Defence
45167,CM,CM,Midfield
45169,CF,CF,Attack
45172,CDM,DM,Midfield
45186,RM,WM,Midfield
45194,LW,WA,Attack
45197,CDM,DM,Midfield
45202,CB,CB,Defence
45208,RM,WM,Midfield
45269,CDM,DM,Midfield
45326,LB,FB,Defence
45352,GK,GK,GoalKeeper
45362,LB,FB,Defence
45367,CB,CB,Defence
45435,CF,CF,Attack
45437,CB,CB,Defence
45448,ST,CF,Attack
45453,LB,FB,Defence
45455,ST,CF,Attack
45456,CAM,CAM,Midfield
45461,RM,WM,Midfield
45462,CB,CB,Defence
45471,RB,FB,Defence
45472,CAM,CAM,Midfield
45473,CM,CM,Midfield
45475,RB,FB,Defence
45490,LM,WM,Midfield
45501,CM,CM,Midfield
45504,ST,CF,Attack
45517,LB,FB,Defence
45534,CB,CB,Defence
45574,CM,CM,Midfield
45577,RB,FB,Defence
45587,ST,CF,Attack
45595,CB,CB,Defence
45601,LM,WM,Midfield
45605,CM,CM,Midfield
45606,CM,CM,Midfield
45616,LB,FB,Defence
45618,CM,CM,Midfield
45655,LB,FB,Defence
45656,ST,CF,Attack
45661,CF,CF,Attack
45674,CDM,DM,Midfield
45701,ST,CF,Attack
45702,GK,GK,GoalKeeper
45707,CF,CF,Attack
45708,CB,CB,Defence
45721,CDM,DM,Midfield
45733,LB,FB,Defence
45744,GK,GK,GoalKeeper
45754,CM,CM,Midfield
45763,CDM,DM,Midfield
45842,CB,CB,Defence
45874,CM,CM,Midfield
45880,ST,CF,Attack
46014,CDM,DM,Midfield
46027,CF,CF,Attack
46042,CB,CB,Defence
46065,CB,CB,Defence
46087,CDM,DM,Midfield
46102,CM,CM,Midfield
46154,LB,FB,Defence
46160,CDM,DM,Midfield
46167,CB,CB,Defence
46175,ST,CF,Attack
46590,CB,CB,Defence
46727,ST,CF,Attack
46736,CB,CB,Defence
46807,CB,CB,Defence
46815,CB,CB,Defence
46826,CB,CB,Defence
46847,ST,CF,Attack
46857,CM,CM,Midfield
46997,ST,CF,Attack
47003,ST,CF,Attack
47014,RB,FB,Defence
47020,GK,GK,GoalKeeper
47058,CB,CB,Defence
47092,GK,GK,GoalKeeper
47096,LB,FB,Defence
47131,CB,CB,Defence
47158,ST,CF,Attack
47189,CDM,DM,Midfield
47201,GK,GK,GoalKeeper
47483,RM,WM,Midfield
47529,GK,GK,GoalKeeper
47608,GK,GK,GoalKeeper
47615,CB,CB,Defence
47638,RM,WM,Midfield
47680,LB,FB,Defence
47688,ST,CF,Attack
47690,CB,CB,Defence
47691,LB,FB,Defence
47692,LB,FB,Defence
47699,GK,GK,GoalKeeper
47702,CB,CB,Defence
47763,CB,CB,Defence
47853,LB,FB,Defence
47854,CDM,DM,Midfield
47860,CB,CB,Defence
47903,GK,GK,GoalKeeper
47961,ST,CF,Attack
47976,CDM,DM,Midfield
47977,CM,CM,Midfield
48098,CM,CM,Midfield
48717,GK,GK,GoalKeeper
48722,CDM,DM,Midfield
48738,CDM,DM,Midfield
48745,CB,CB,Defence
48757,CDM,DM,Midfield
48758,CDM,DM,Midfield
48826,CM,CM,Midfield
48940,GK,GK,GoalKeeper
49000,GK,GK,GoalKeeper
49006,CM,CM,Midfield
49012,ST,CF,Attack
49025,RB,FB,Defence
49026,ST,CF,Attack
49031,GK,GK,GoalKeeper
49036,CAM,CAM,Midfield
49043,ST,CF,Attack
49045,ST,CF,Attack
49051,CF,CF,Attack
49072,ST,CF,Attack
49073,CM,CM,Midfield
49076,CM,CM,Midfield
49116,LB,FB,Defence
49161,CB,CB,Defence
